Mapping parameters for Torpedo nobiliana (Electric ray)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47,
Bounding Box (NSWE): ,60,-35,-82,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,10,150,800
Temperature (°C),1,0.67,10.91,27.69,31.89
Salinity (psu),1,19.62,31.89,37.61,39.33
Primary Production,1,245,409,1918,3894
Sea Ice Concentration,1,-1,0,0,0.31
Distance to Land (km),0,0,12,202,875
 

Map data (HSPEC) for predicted occurrences (n = 4634): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Torpedo,nobiliana,3.25,6.75,1000:236:2,0.13
Torpedo,nobiliana,3.25,7.25,1000:237:1,0.17
Torpedo,nobiliana,3.25,7.75,1000:237:2,0.01
Torpedo,nobiliana,38.25,1.75,1300:381:2,0.17
Torpedo,nobiliana,31.25,19.25,1301:219:1,0.13
Torpedo,nobiliana,32.25,16.75,1301:226:2,0.02
Torpedo,nobiliana,32.25,19.25,1301:229:1,0.19
Torpedo,nobiliana,32.75,19.75,1301:229:4,0.14
Torpedo,nobiliana,33.25,15.25,1301:235:1,0.07
Torpedo,nobiliana,33.25,15.75,1301:235:2,0.01
Torpedo,nobiliana,33.75,15.25,1301:235:3,0.19
Torpedo,nobiliana,33.75,15.75,1301:235:4,0.18
Torpedo,nobiliana,34.25,16.25,1301:246:1,0.17
Torpedo,nobiliana,38.75,10.25,1301:380:3,0.04
Torpedo,nobiliana,38.75,11.25,1301:381:3,0.06
Torpedo,nobiliana,38.75,12.75,1301:382:4,0.16
Torpedo,nobiliana,36.75,15.75,1301:465:4,0.11
Torpedo,nobiliana,39.25,15.25,1301:495:1,0.17
Torpedo,nobiliana,32.75,22.75,1302:122:4,0.13
Torpedo,nobiliana,32.25,23.25,1302:123:1,0.13
Torpedo,nobiliana,32.25,23.75,1302:123:2,0.12
Torpedo,nobiliana,32.75,23.25,1302:123:3,0.16
Torpedo,nobiliana,32.75,23.75,1302:123:4,0.16
Torpedo,nobiliana,32.25,24.25,1302:124:1,0.15
Torpedo,nobiliana,32.25,24.75,1302:124:2,0.15
Torpedo,nobiliana,33.25,21.75,1302:131:2,0.07
Torpedo,nobiliana,33.25,22.25,1302:132:1,0.12
Torpedo,nobiliana,33.25,22.75,1302:132:2,0.13
Torpedo,nobiliana,33.25,23.25,1302:133:1,0.12
Torpedo,nobiliana,34.75,23.75,1302:143:4,0.13
Torpedo,nobiliana,34.75,24.25,1302:144:3,0.10
