Mapping parameters for Trachinotus rhodopus (Gafftopsail pompano)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 77 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,11,20
Temperature (°C),1,15.43,22.33,28.52,32.72
Salinity (psu),1,30.9,32.22,35.34,37.4
Primary Production,1,321,588,1750,2519
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,6,79,111
 

Map data (HSPEC) for predicted occurrences (n = 442): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Trachinotus,rhodopus,-6.25,-80.75,5008:360:2,0.07
Trachinotus,rhodopus,-6.75,-80.75,5008:360:4,0.17
Trachinotus,rhodopus,-6.25,-81.25,5008:361:1,0.06
Trachinotus,rhodopus,-7.75,-140.25,5014:370:3,0.06
Trachinotus,rhodopus,-7.75,-140.75,5014:370:4,0.08
Trachinotus,rhodopus,-11.25,-77.75,5107:217:2,0.12
Trachinotus,rhodopus,-13.25,-76.25,5107:236:1,0.08
Trachinotus,rhodopus,-16.75,-143.25,5114:363:3,0.12
Trachinotus,rhodopus,-16.75,-143.75,5114:363:4,0.07
Trachinotus,rhodopus,-16.75,-144.75,5114:364:4,0.03
Trachinotus,rhodopus,-15.75,-146.25,5114:456:3,0.02
Trachinotus,rhodopus,-16.75,-145.25,5114:465:3,0.09
Trachinotus,rhodopus,-28.25,-71.25,5207:381:1,0.17
Trachinotus,rhodopus,-28.75,-71.25,5207:381:3,0.17
Trachinotus,rhodopus,-29.25,-71.25,5207:391:1,0.11
Trachinotus,rhodopus,-29.25,-71.75,5207:391:2,0.11
Trachinotus,rhodopus,-29.75,-71.25,5207:391:3,0.11
Trachinotus,rhodopus,-30.25,-71.25,5307:101:1,0.08
Trachinotus,rhodopus,-30.25,-71.75,5307:101:2,0.08
Trachinotus,rhodopus,-30.75,-71.75,5307:101:4,0.08
Trachinotus,rhodopus,-31.25,-71.75,5307:111:2,0.05
Trachinotus,rhodopus,-31.75,-71.25,5307:111:3,0.03
Trachinotus,rhodopus,-31.75,-71.75,5307:111:4,0.05
Trachinotus,rhodopus,-32.25,-71.25,5307:121:1,0.02
Trachinotus,rhodopus,-32.25,-71.75,5307:121:2,0.02
Trachinotus,rhodopus,-32.75,-71.25,5307:121:3,0.02
Trachinotus,rhodopus,-32.75,-71.75,5307:121:4,0.02
Trachinotus,rhodopus,-33.75,-78.75,5307:238:4,0.12
Trachinotus,rhodopus,-33.75,-80.75,5308:130:4,0.03
Trachinotus,rhodopus,7.25,-79.75,7007:479:2,0.15
Trachinotus,rhodopus,3.75,-159.25,7015:239:3,0.19
Trachinotus,rhodopus,4.75,-160.25,7016:140:3,0.11
Trachinotus,rhodopus,5.75,-162.25,7016:352:3,0.07
