Mapping parameters for Trachurus japonicus (Japanese jack mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,46,29,129,148

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,50,275,275
Temperature (°C),1,8.44,14.11,22.92,27.82
Salinity (psu),1,32.15,33.08,34.19,34.92
Primary Production (mgC·m-3·day-1) ,1,3.65,9.52,44.47,80.11
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,149.5,260.15,293.3
Distance to Land (km),0,1,4,94,325
 

Map data (HSPEC) for predicted occurrences (n = 271): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Trachurus,japonicus,29.25,129.25,1212:499:1,0.19
Trachurus,japonicus,35.75,129.25,1312:459:3,0.18
Trachurus,japonicus,33.25,132.75,1313:132:2,0.04
Trachurus,japonicus,34.75,133.75,1313:143:4,0.14
Trachurus,japonicus,34.75,136.75,1313:246:4,0.02
Trachurus,japonicus,36.75,134.75,1313:364:4,0.16
Trachurus,japonicus,38.75,134.25,1313:384:3,0.04
Trachurus,japonicus,39.75,133.75,1313:393:4,0.05
Trachurus,japonicus,39.25,134.25,1313:394:1,0.03
Trachurus,japonicus,39.25,134.75,1313:394:2,0.05
Trachurus,japonicus,36.75,137.75,1313:467:4,0.08
Trachurus,japonicus,38.75,138.75,1313:488:4,0.19
Trachurus,japonicus,39.25,135.25,1313:495:1,0.04
Trachurus,japonicus,39.25,138.75,1313:498:2,0.14
Trachurus,japonicus,37.25,140.75,1314:370:2,0.04
Trachurus,japonicus,42.25,139.25,1413:229:1,0.14
Trachurus,japonicus,42.75,139.75,1413:229:4,0.05
Trachurus,japonicus,43.25,140.25,1414:130:1,0.16
