Mapping parameters for Trachurus picturatus (Blue jack mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47,
Bounding Box (NSWE): ,45,-41,-32,17

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,305,311,338,370
Temperature (°C),1,1.5,2.64,15.82,28.9
Salinity (psu),1,29.88,34.91,38.58,39.08
Primary Production,1,202.5,324,640,2743
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,4,11,290,944
 

Map data (HSPEC) for predicted occurrences (n = 713): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Trachurus,picturatus,3.25,9.75,1000:239:2,0.08
Trachurus,picturatus,4.25,9.25,1000:249:1,0.18
Trachurus,picturatus,41.25,3.25,1400:113:1,0.16
Trachurus,picturatus,-4.25,10.75,3001:140:2,0.04
Trachurus,picturatus,-6.25,11.25,3001:361:1,0.13
Trachurus,picturatus,-7.25,12.75,3001:372:2,0.09
Trachurus,picturatus,-15.75,11.75,3101:351:4,0.17
Trachurus,picturatus,-16.25,11.75,3101:361:2,0.14
Trachurus,picturatus,-17.25,11.75,3101:371:2,0.09
Trachurus,picturatus,-17.75,11.75,3101:371:4,0.06
Trachurus,picturatus,-18.25,11.75,3101:381:2,0.11
Trachurus,picturatus,-20.25,12.75,3201:102:2,0.09
Trachurus,picturatus,-26.25,14.25,3201:364:1,0.18
Trachurus,picturatus,-26.75,14.75,3201:364:4,0.17
Trachurus,picturatus,-29.25,14.25,3201:394:1,0.19
Trachurus,picturatus,-31.75,8.25,3300:218:3,0.07
Trachurus,picturatus,-34.25,-4.75,5300:144:2,0.08
Trachurus,picturatus,-34.25,-5.25,5300:245:1,0.06
Trachurus,picturatus,13.25,-17.25,7101:237:1,0.18
Trachurus,picturatus,13.75,-17.25,7101:237:3,0.01
Trachurus,picturatus,14.25,-17.25,7101:247:1,0.06
Trachurus,picturatus,14.75,-17.25,7101:247:3,0.13
Trachurus,picturatus,15.25,-17.25,7101:457:1,0.15
Trachurus,picturatus,15.75,-17.25,7101:457:3,0.17
Trachurus,picturatus,19.75,-16.75,7101:496:4,0.04
Trachurus,picturatus,20.25,-16.25,7201:206:1,0.02
Trachurus,picturatus,20.25,-16.75,7201:206:2,0.02
Trachurus,picturatus,20.75,-17.75,7201:207:4,0.04
Trachurus,picturatus,21.25,-17.75,7201:217:2,0.19
