Mapping parameters for Trachurus capensis (Cape horse mackerel)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,7,-37,4,24

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,300,500
Temperature (°C),1,13.07,16.2,24.9,27.94
Salinity (psu),1,29.54,34.52,35.52,36.02
Primary Production,1,274,806,2938,3999
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,12,243,558
 

Map data (HSPEC) for predicted occurrences (n = 296): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Trachurus,capensis,4.75,4.75,1000:144:4,0.01
Trachurus,capensis,0.25,6.25,1000:206:1,0.07
Trachurus,capensis,0.25,6.75,1000:206:2,0.09
Trachurus,capensis,0.25,8.75,1000:208:2,0.08
Trachurus,capensis,0.75,8.75,1000:208:4,0.08
Trachurus,capensis,0.25,9.25,1000:209:1,0.08
Trachurus,capensis,0.25,9.75,1000:209:2,0.09
Trachurus,capensis,0.75,9.25,1000:209:3,0.09
Trachurus,capensis,0.75,9.75,1000:209:4,0.08
Trachurus,capensis,1.25,7.25,1000:217:1,0.04
Trachurus,capensis,1.75,7.25,1000:217:3,0.04
Trachurus,capensis,1.75,7.75,1000:217:4,0.04
Trachurus,capensis,1.25,9.25,1000:219:1,0.03
Trachurus,capensis,1.25,9.75,1000:219:2,0.03
Trachurus,capensis,1.75,9.25,1000:219:3,0.03
Trachurus,capensis,1.75,9.75,1000:219:4,0.03
Trachurus,capensis,4.25,9.25,1000:249:1,0.01
Trachurus,capensis,5.25,4.75,1000:354:2,0.01
Trachurus,capensis,5.75,4.25,1000:354:3,0.01
Trachurus,capensis,5.75,4.75,1000:354:4,0.01
Trachurus,capensis,6.25,4.25,1000:364:1,0.03
Trachurus,capensis,6.25,4.75,1000:364:2,0.03
Trachurus,capensis,-0.75,9.25,3000:209:3,0.04
Trachurus,capensis,-6.25,11.25,3001:361:1,0.19
Trachurus,capensis,-6.25,12.75,3001:362:2,0.04
Trachurus,capensis,-6.75,12.75,3001:362:4,0.12
Trachurus,capensis,-26.25,6.25,3200:466:1,0.07
Trachurus,capensis,-28.75,16.25,3201:486:3,0.19
Trachurus,capensis,-28.75,16.75,3201:486:4,0.15
Trachurus,capensis,-29.25,16.75,3201:496:2,0.01
Trachurus,capensis,-33.25,16.75,3301:236:2,0.12
Trachurus,capensis,-33.75,18.75,3301:238:4,0.05
Trachurus,capensis,-33.75,22.75,3302:132:4,0.02
Trachurus,capensis,-33.75,23.25,3302:133:3,0.01
Trachurus,capensis,-35.75,20.25,3302:350:3,0.04
Trachurus,capensis,-36.25,21.25,3302:361:1,0.04
Trachurus,capensis,-0.25,8.75,3000:208:2,0.30
Trachurus,capensis,-0.75,8.75,3000:208:4,0.30
Trachurus,capensis,-0.25,9.25,3000:209:1,0.31
Trachurus,capensis,-1.25,5.75,3000:215:2,0.38
Trachurus,capensis,-3.75,9.75,3000:239:4,0.34
Trachurus,capensis,-3.75,10.75,3001:130:4,0.28
Trachurus,capensis,-3.75,11.25,3001:131:3,0.27
Trachurus,capensis,-4.25,10.75,3001:140:2,0.27
Trachurus,capensis,-4.25,11.25,3001:141:1,0.28
Trachurus,capensis,-4.25,11.75,3001:141:2,0.28
Trachurus,capensis,-4.75,11.25,3001:141:3,0.22
Trachurus,capensis,-6.25,11.75,3001:361:2,0.20
Trachurus,capensis,-6.75,11.75,3001:361:4,0.20
Trachurus,capensis,-6.25,12.25,3001:362:1,0.21
Trachurus,capensis,-6.75,12.25,3001:362:3,0.22
Trachurus,capensis,-19.25,11.25,3101:391:1,0.22
Trachurus,capensis,-19.75,13.25,3101:393:3,0.38
Trachurus,capensis,-23.25,14.75,3201:134:2,0.28
Trachurus,capensis,-29.25,17.25,3201:497:1,0.21
Trachurus,capensis,-30.25,14.75,3301:104:2,0.33
Trachurus,capensis,-31.25,18.25,3301:218:1,0.34
Trachurus,capensis,-33.75,17.25,3301:237:3,0.20
Trachurus,capensis,-34.75,17.75,3301:247:4,0.24
Trachurus,capensis,-1.25,8.25,3000:218:1,0.48
Trachurus,capensis,-1.25,8.75,3000:218:2,0.48
Trachurus,capensis,-1.75,8.75,3000:218:4,0.48
Trachurus,capensis,-1.25,9.25,3000:219:1,0.49
Trachurus,capensis,-1.75,9.25,3000:219:3,0.49
Trachurus,capensis,-2.25,8.75,3000:228:2,0.59
Trachurus,capensis,-2.75,8.75,3000:228:4,0.43
Trachurus,capensis,-2.75,9.75,3000:229:4,0.52
Trachurus,capensis,-3.25,9.25,3000:239:1,0.55
Trachurus,capensis,-3.25,9.75,3000:239:2,0.55
Trachurus,capensis,-2.75,10.25,3001:120:3,0.53
Trachurus,capensis,-3.25,10.25,3001:130:1,0.58
Trachurus,capensis,-3.25,10.75,3001:130:2,0.58
Trachurus,capensis,-3.75,10.25,3001:130:3,0.58
Trachurus,capensis,-7.25,11.75,3001:371:2,0.51
Trachurus,capensis,-7.25,12.25,3001:372:1,0.55
Trachurus,capensis,-7.25,12.75,3001:372:2,0.55
Trachurus,capensis,-15.25,11.75,3101:351:2,0.50
Trachurus,capensis,-15.75,11.75,3101:351:4,0.50
Trachurus,capensis,-15.25,12.25,3101:352:1,0.50
Trachurus,capensis,-15.75,12.25,3101:352:3,0.50
Trachurus,capensis,-16.25,11.25,3101:361:1,0.50
Trachurus,capensis,-16.25,11.75,3101:361:2,0.50
Trachurus,capensis,-16.75,11.75,3101:361:4,0.50
Trachurus,capensis,-18.75,12.75,3101:382:4,0.40
Trachurus,capensis,-20.75,13.75,3201:103:4,0.43
Trachurus,capensis,-22.75,14.25,3201:124:3,0.55
Trachurus,capensis,-23.75,14.75,3201:134:4,0.45
Trachurus,capensis,-24.25,14.25,3201:144:1,0.41
Trachurus,capensis,-24.25,14.75,3201:144:2,0.46
Trachurus,capensis,-24.75,14.25,3201:144:3,0.42
Trachurus,capensis,-24.75,14.75,3201:144:4,0.53
Trachurus,capensis,-28.25,15.75,3201:485:2,0.51
Trachurus,capensis,-28.25,16.25,3201:486:1,0.56
Trachurus,capensis,-29.75,16.75,3201:496:4,0.53
Trachurus,capensis,-30.25,17.25,3301:207:1,0.55
Trachurus,capensis,-30.75,17.75,3301:207:4,0.53
Trachurus,capensis,-31.25,15.75,3301:215:2,0.58
Trachurus,capensis,-31.25,17.75,3301:217:2,0.57
Trachurus,capensis,-32.25,16.25,3301:226:1,0.54
Trachurus,capensis,-2.25,9.25,3000:229:1,0.61
Trachurus,capensis,-2.25,9.75,3000:229:2,0.61
Trachurus,capensis,-2.75,9.25,3000:229:3,0.61
Trachurus,capensis,-7.75,12.75,3001:372:4,0.67
Trachurus,capensis,-7.75,13.25,3001:373:3,0.67
Trachurus,capensis,-8.25,12.75,3001:382:2,0.68
Trachurus,capensis,-8.75,12.75,3001:382:4,0.68
Trachurus,capensis,-8.25,13.25,3001:383:1,0.69
Trachurus,capensis,-8.75,13.25,3001:383:3,0.69
Trachurus,capensis,-10.25,13.75,3101:103:2,0.70
Trachurus,capensis,-13.75,12.25,3101:132:3,0.68
Trachurus,capensis,-14.25,12.25,3101:142:1,0.60
Trachurus,capensis,-14.75,12.25,3101:142:3,0.60
Trachurus,capensis,-16.75,11.25,3101:361:3,0.60
Trachurus,capensis,-20.25,11.75,3201:101:2,0.76
Trachurus,capensis,-20.25,13.25,3201:103:1,0.73
Trachurus,capensis,-21.25,13.75,3201:113:2,0.77
Trachurus,capensis,-21.75,14.25,3201:114:3,0.78
Trachurus,capensis,-22.25,14.25,3201:124:1,0.77
