Mapping parameters for Trachyrincus scabrus (Roughsnout grenadier)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47,
Bounding Box (NSWE): ,55,-27,-26,36

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,395,564,953,1700
Temperature (°C),1,-1.74,2.9,14.32,22.58
Salinity (psu),1,29.7,34.64,38.59,39.09
Primary Production (mgC·m-3·day-1) ,1,-0.4,0.6,45.33,124.67
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),1,14.44,77.63,242.63,332.74
Distance to Land (km),0,3,18,203,423
 

Map data (HSPEC) for predicted occurrences (n = 1497): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Trachyrincus,scabrus,53.75,-20.25,7502:130:3,0.18
Trachyrincus,scabrus,53.75,-19.25,7501:239:3,0.15
Trachyrincus,scabrus,53.25,-15.25,7501:235:1,0.03
Trachyrincus,scabrus,53.25,-12.75,7501:132:2,0.08
Trachyrincus,scabrus,53.75,-11.75,7501:131:4,0.01
Trachyrincus,scabrus,52.75,-14.25,7501:124:3,0.18
Trachyrincus,scabrus,52.25,-14.25,7501:124:1,0.04
Trachyrincus,scabrus,51.25,-12.75,7501:112:2,0.17
Trachyrincus,scabrus,51.75,-11.25,7501:111:3,0.11
Trachyrincus,scabrus,43.25,-24.75,7402:134:2,0.05
Trachyrincus,scabrus,49.75,-10.75,7401:390:4,0.14
Trachyrincus,scabrus,49.25,-10.75,7401:390:2,0.14
Trachyrincus,scabrus,42.25,-11.75,7401:121:2,0.06
Trachyrincus,scabrus,42.75,-10.75,7401:120:4,0.04
Trachyrincus,scabrus,45.75,-4.25,7400:354:3,0.03
Trachyrincus,scabrus,44.25,-3.25,7400:143:1,0.11
Trachyrincus,scabrus,44.75,-2.75,7400:142:4,0.10
Trachyrincus,scabrus,36.25,-15.25,7301:465:1,0.19
Trachyrincus,scabrus,38.25,-13.25,7301:383:1,0.07
Trachyrincus,scabrus,37.25,-14.75,7301:374:2,0.02
Trachyrincus,scabrus,35.25,-13.25,7301:353:1,0.03
Trachyrincus,scabrus,34.75,-16.25,7301:246:3,0.07
Trachyrincus,scabrus,33.25,-16.75,7301:236:2,0.01
Trachyrincus,scabrus,34.75,-12.25,7301:142:3,0.05
Trachyrincus,scabrus,30.25,-13.75,7301:103:2,0.10
Trachyrincus,scabrus,30.75,-12.25,7301:102:3,0.02
Trachyrincus,scabrus,38.75,-9.25,7300:489:3,0.15
Trachyrincus,scabrus,38.25,-8.75,7300:488:2,0.15
Trachyrincus,scabrus,36.25,-6.25,7300:466:1,0.06
Trachyrincus,scabrus,35.25,-6.25,7300:456:1,0.03
Trachyrincus,scabrus,35.25,-4.75,7300:354:2,0.11
Trachyrincus,scabrus,33.25,-8.75,7300:238:2,0.19
Trachyrincus,scabrus,33.75,-7.25,7300:237:3,0.08
Trachyrincus,scabrus,25.75,-20.25,7202:350:3,0.11
Trachyrincus,scabrus,28.75,-15.75,7201:485:4,0.15
Trachyrincus,scabrus,25.25,-15.75,7201:455:2,0.11
Trachyrincus,scabrus,29.75,-13.75,7201:393:4,0.15
Trachyrincus,scabrus,23.75,-17.75,7201:237:4,0.04
Trachyrincus,scabrus,21.75,-18.25,7201:218:3,0.19
Trachyrincus,scabrus,21.25,-17.25,7201:217:1,0.02
Trachyrincus,scabrus,20.25,-16.75,7201:206:2,0.03
Trachyrincus,scabrus,20.25,-16.25,7201:206:1,0.11
Trachyrincus,scabrus,16.75,-24.75,7102:364:4,0.11
Trachyrincus,scabrus,15.75,-23.25,7102:353:3,0.12
Trachyrincus,scabrus,18.25,-16.25,7101:486:1,0.01
