Mapping parameters for Lepidotrigla alata ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,60,65,86,110
Temperature (°C),1,13.45,19.95,26.5,30.7
Salinity (psu),1,32.45,33.2,34.43,35.2
Primary Production,1,452,483,1221,1742.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,3,85,107
 

Map data (HSPEC) for predicted occurrences (n = 846): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lepidotrigla,alata,1.75,104.75,1010:114:4,0.08
Lepidotrigla,alata,2.75,104.25,1010:124:3,0.09
Lepidotrigla,alata,3.25,104.25,1010:134:1,0.08
Lepidotrigla,alata,0.75,105.75,1010:205:4,0.01
Lepidotrigla,alata,0.75,106.25,1010:206:3,0.08
Lepidotrigla,alata,0.25,108.25,1010:208:1,0.15
Lepidotrigla,alata,1.75,109.75,1010:219:4,0.01
Lepidotrigla,alata,2.75,107.25,1010:227:3,0.06
Lepidotrigla,alata,2.75,109.75,1010:229:4,0.03
Lepidotrigla,alata,3.75,106.25,1010:236:3,0.12
Lepidotrigla,alata,3.75,106.75,1010:236:4,0.07
Lepidotrigla,alata,3.75,107.25,1010:237:3,0.04
Lepidotrigla,alata,3.75,109.75,1010:239:4,0.13
Lepidotrigla,alata,4.25,105.75,1010:245:2,0.11
Lepidotrigla,alata,5.75,103.75,1010:353:4,0.08
Lepidotrigla,alata,7.25,103.25,1010:373:1,0.03
Lepidotrigla,alata,7.25,103.75,1010:373:2,0.03
Lepidotrigla,alata,7.75,103.25,1010:373:3,0.03
Lepidotrigla,alata,7.75,103.75,1010:373:4,0.03
Lepidotrigla,alata,3.25,110.25,1011:130:1,0.12
Lepidotrigla,alata,3.25,110.75,1011:130:2,0.12
Lepidotrigla,alata,3.75,110.25,1011:130:3,0.12
Lepidotrigla,alata,3.75,110.75,1011:130:4,0.12
Lepidotrigla,alata,3.75,113.25,1011:133:3,0.15
Lepidotrigla,alata,3.75,113.75,1011:133:4,0.16
Lepidotrigla,alata,4.25,112.25,1011:142:1,0.16
Lepidotrigla,alata,4.25,112.75,1011:142:2,0.16
Lepidotrigla,alata,4.75,112.25,1011:142:3,0.16
Lepidotrigla,alata,4.75,112.75,1011:142:4,0.16
Lepidotrigla,alata,4.25,113.75,1011:143:2,0.08
Lepidotrigla,alata,4.75,114.75,1011:144:4,0.08
Lepidotrigla,alata,0.25,117.75,1011:207:2,0.16
Lepidotrigla,alata,2.25,117.75,1011:227:2,0.07
Lepidotrigla,alata,5.25,112.25,1011:352:1,0.05
Lepidotrigla,alata,5.25,113.25,1011:353:1,0.16
Lepidotrigla,alata,4.75,120.25,1012:140:3,0.13
Lepidotrigla,alata,2.75,125.25,1012:225:3,0.11
Lepidotrigla,alata,3.75,126.75,1012:236:4,0.09
Lepidotrigla,alata,6.75,125.75,1012:465:4,0.10
Lepidotrigla,alata,0.75,172.75,1017:102:4,0.06
Lepidotrigla,alata,0.25,173.25,1017:103:1,0.06
Lepidotrigla,alata,0.25,173.75,1017:103:2,0.06
Lepidotrigla,alata,0.75,173.25,1017:103:3,0.06
Lepidotrigla,alata,0.75,173.75,1017:103:4,0.06
Lepidotrigla,alata,1.25,172.75,1017:112:2,0.09
Lepidotrigla,alata,1.75,172.75,1017:112:4,0.09
Lepidotrigla,alata,1.25,173.25,1017:113:1,0.09
Lepidotrigla,alata,1.75,173.25,1017:113:3,0.09
Lepidotrigla,alata,2.25,172.75,1017:122:2,0.01
Lepidotrigla,alata,3.25,172.75,1017:132:2,0.17
Lepidotrigla,alata,11.25,109.75,1110:219:2,0.18
Lepidotrigla,alata,19.25,108.25,1110:498:1,0.19
Lepidotrigla,alata,19.75,109.25,1110:499:3,0.19
Lepidotrigla,alata,19.75,112.75,1111:392:4,0.06
Lepidotrigla,alata,18.75,120.75,1112:380:4,0.04
Lepidotrigla,alata,20.25,109.25,1210:209:1,0.04
Lepidotrigla,alata,23.25,116.75,1211:236:2,0.15
Lepidotrigla,alata,26.75,120.75,1212:360:4,0.14
Lepidotrigla,alata,27.25,120.25,1212:370:1,0.15
Lepidotrigla,alata,27.75,121.75,1212:371:4,0.15
Lepidotrigla,alata,28.25,121.25,1212:381:1,0.05
Lepidotrigla,alata,32.25,125.25,1312:225:1,0.12
Lepidotrigla,alata,34.25,125.25,1312:245:1,0.17
Lepidotrigla,alata,34.25,125.75,1312:245:2,0.13
Lepidotrigla,alata,34.75,125.25,1312:245:3,0.17
Lepidotrigla,alata,35.25,125.25,1312:455:1,0.08
Lepidotrigla,alata,35.25,125.75,1312:455:2,0.02
Lepidotrigla,alata,35.75,125.25,1312:455:3,0.09
Lepidotrigla,alata,35.75,125.75,1312:455:4,0.06
Lepidotrigla,alata,38.25,128.75,1312:488:2,0.09
Lepidotrigla,alata,38.75,128.25,1312:488:3,0.09
Lepidotrigla,alata,38.75,128.75,1312:488:4,0.09
Lepidotrigla,alata,39.25,128.25,1312:498:1,0.01
Lepidotrigla,alata,39.75,128.25,1312:498:3,0.01
Lepidotrigla,alata,32.75,132.75,1313:122:4,0.11
Lepidotrigla,alata,34.25,134.25,1313:144:1,0.17
Lepidotrigla,alata,37.25,136.25,1313:476:1,0.16
Lepidotrigla,alata,37.75,137.75,1313:477:4,0.13
Lepidotrigla,alata,39.25,135.25,1313:495:1,0.07
Lepidotrigla,alata,39.25,142.25,1314:392:1,0.11
Lepidotrigla,alata,39.75,142.25,1314:392:3,0.11
Lepidotrigla,alata,40.25,139.75,1413:209:2,0.11
Lepidotrigla,alata,40.75,139.75,1413:209:4,0.11
Lepidotrigla,alata,2.25,104.75,1010:124:2,0.21
Lepidotrigla,alata,2.75,104.75,1010:124:4,0.21
Lepidotrigla,alata,3.25,103.25,1010:133:1,0.26
Lepidotrigla,alata,3.25,103.75,1010:133:2,0.38
Lepidotrigla,alata,3.75,103.25,1010:133:3,0.38
Lepidotrigla,alata,3.25,104.75,1010:134:2,0.39
Lepidotrigla,alata,3.75,104.25,1010:134:3,0.23
Lepidotrigla,alata,3.75,104.75,1010:134:4,0.39
Lepidotrigla,alata,4.25,103.25,1010:143:1,0.39
Lepidotrigla,alata,4.75,103.25,1010:143:3,0.39
Lepidotrigla,alata,4.75,103.75,1010:143:4,0.23
Lepidotrigla,alata,0.25,106.75,1010:206:2,0.21
Lepidotrigla,alata,0.25,107.25,1010:207:1,0.27
Lepidotrigla,alata,1.25,105.75,1010:215:2,0.35
Lepidotrigla,alata,1.75,105.75,1010:215:4,0.26
Lepidotrigla,alata,1.25,106.25,1010:216:1,0.29
Lepidotrigla,alata,1.25,106.75,1010:216:2,0.36
Lepidotrigla,alata,1.75,106.25,1010:216:3,0.36
Lepidotrigla,alata,1.75,106.75,1010:216:4,0.36
Lepidotrigla,alata,1.25,107.25,1010:217:1,0.35
Lepidotrigla,alata,1.75,107.25,1010:217:3,0.35
Lepidotrigla,alata,1.75,107.75,1010:217:4,0.35
Lepidotrigla,alata,2.25,105.25,1010:225:1,0.38
Lepidotrigla,alata,2.25,105.75,1010:225:2,0.38
Lepidotrigla,alata,2.75,105.25,1010:225:3,0.38
Lepidotrigla,alata,2.75,105.75,1010:225:4,0.31
Lepidotrigla,alata,2.75,106.75,1010:226:4,0.34
Lepidotrigla,alata,2.25,107.25,1010:227:1,0.39
Lepidotrigla,alata,2.25,107.75,1010:227:2,0.39
Lepidotrigla,alata,2.75,107.75,1010:227:4,0.39
Lepidotrigla,alata,2.25,108.25,1010:228:1,0.32
Lepidotrigla,alata,2.75,108.25,1010:228:3,0.32
Lepidotrigla,alata,2.75,108.75,1010:228:4,0.32
Lepidotrigla,alata,3.75,105.75,1010:235:4,0.28
Lepidotrigla,alata,3.25,108.25,1010:238:1,0.39
Lepidotrigla,alata,3.25,108.75,1010:238:2,0.39
Lepidotrigla,alata,3.75,108.25,1010:238:3,0.39
Lepidotrigla,alata,3.75,108.75,1010:238:4,0.39
Lepidotrigla,alata,3.25,109.25,1010:239:1,0.27
Lepidotrigla,alata,3.25,109.75,1010:239:2,0.27
Lepidotrigla,alata,3.75,109.25,1010:239:3,0.27
Lepidotrigla,alata,4.25,105.25,1010:245:1,0.34
Lepidotrigla,alata,5.25,103.75,1010:353:2,0.32
Lepidotrigla,alata,6.25,104.25,1010:364:1,0.36
Lepidotrigla,alata,8.25,107.25,1010:487:1,0.36
Lepidotrigla,alata,8.75,107.75,1010:487:4,0.21
Lepidotrigla,alata,4.25,110.75,1011:140:2,0.31
Lepidotrigla,alata,4.25,111.25,1011:141:1,0.22
Lepidotrigla,alata,4.25,111.75,1011:141:2,0.22
Lepidotrigla,alata,4.25,113.25,1011:143:1,0.21
Lepidotrigla,alata,4.75,113.25,1011:143:3,0.21
Lepidotrigla,alata,4.75,114.25,1011:144:3,0.38
Lepidotrigla,alata,0.75,117.75,1011:207:4,0.38
Lepidotrigla,alata,0.75,118.25,1011:208:3,0.39
Lepidotrigla,alata,0.75,118.75,1011:208:4,0.39
Lepidotrigla,alata,0.25,119.75,1011:209:2,0.37
Lepidotrigla,alata,0.75,119.25,1011:209:3,0.37
Lepidotrigla,alata,0.75,119.75,1011:209:4,0.37
Lepidotrigla,alata,1.25,118.75,1011:218:2,0.39
Lepidotrigla,alata,1.75,118.25,1011:218:3,0.39
Lepidotrigla,alata,1.75,118.75,1011:218:4,0.39
Lepidotrigla,alata,1.25,119.25,1011:219:1,0.38
Lepidotrigla,alata,1.75,119.25,1011:219:3,0.38
Lepidotrigla,alata,2.25,118.25,1011:228:1,0.36
Lepidotrigla,alata,2.25,118.75,1011:228:2,0.39
Lepidotrigla,alata,2.75,118.25,1011:228:3,0.39
Lepidotrigla,alata,3.75,118.25,1011:238:3,0.30
Lepidotrigla,alata,4.75,115.25,1011:245:3,0.38
Lepidotrigla,alata,5.25,112.75,1011:352:2,0.36
Lepidotrigla,alata,5.25,113.75,1011:353:2,0.36
Lepidotrigla,alata,5.25,114.25,1011:354:1,0.32
Lepidotrigla,alata,5.25,114.75,1011:354:2,0.39
Lepidotrigla,alata,5.75,114.25,1011:354:3,0.39
Lepidotrigla,alata,5.75,114.75,1011:354:4,0.39
Lepidotrigla,alata,5.25,115.25,1011:455:1,0.39
Lepidotrigla,alata,5.25,115.75,1011:455:2,0.39
Lepidotrigla,alata,5.75,115.25,1011:455:3,0.39
Lepidotrigla,alata,5.75,115.75,1011:455:4,0.39
Lepidotrigla,alata,5.75,116.25,1011:456:3,0.39
Lepidotrigla,alata,6.25,115.25,1011:465:1,0.39
Lepidotrigla,alata,6.25,115.75,1011:465:2,0.39
Lepidotrigla,alata,6.75,115.75,1011:465:4,0.39
Lepidotrigla,alata,6.25,116.25,1011:466:1,0.39
Lepidotrigla,alata,8.75,117.25,1011:487:3,0.21
Lepidotrigla,alata,0.25,120.25,1012:100:1,0.35
Lepidotrigla,alata,0.25,120.75,1012:100:2,0.35
Lepidotrigla,alata,0.75,120.25,1012:100:3,0.35
Lepidotrigla,alata,0.75,120.75,1012:100:4,0.35
Lepidotrigla,alata,0.25,121.25,1012:101:1,0.34
Lepidotrigla,alata,0.25,121.75,1012:101:2,0.34
Lepidotrigla,alata,0.25,122.25,1012:102:1,0.35
Lepidotrigla,alata,0.25,122.75,1012:102:2,0.30
Lepidotrigla,alata,0.25,123.25,1012:103:1,0.38
Lepidotrigla,alata,0.25,123.75,1012:103:2,0.38
Lepidotrigla,alata,0.75,123.25,1012:103:3,0.38
Lepidotrigla,alata,0.75,123.75,1012:103:4,0.38
Lepidotrigla,alata,1.25,120.25,1012:110:1,0.36
Lepidotrigla,alata,1.25,120.75,1012:110:2,0.36
Lepidotrigla,alata,1.25,121.25,1012:111:1,0.35
Lepidotrigla,alata,1.25,121.75,1012:111:2,0.35
Lepidotrigla,alata,1.25,122.25,1012:112:1,0.35
Lepidotrigla,alata,1.25,122.75,1012:112:2,0.35
Lepidotrigla,alata,1.25,123.25,1012:113:1,0.37
Lepidotrigla,alata,2.75,125.75,1012:225:4,0.24
Lepidotrigla,alata,9.75,121.25,1012:391:3,0.34
Lepidotrigla,alata,9.75,122.25,1012:392:3,0.37
Lepidotrigla,alata,0.25,130.25,1013:100:1,0.37
Lepidotrigla,alata,0.25,130.75,1013:100:2,0.37
