Mapping parameters for Chelidonichthys capensis (Cape gurnard)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,-17,-45,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,54,184,390
Temperature (°C),1,12.36,16.33,21.88,26.99
Salinity (psu),1,34.16,34.66,35.66,36.16
Primary Production,1,274,693,2914,3988
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,6,232,968
 

Map data (HSPEC) for predicted occurrences (n = 367): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Chelidonichthys,capensis,-19.75,34.75,3103:394:4,0.12
Chelidonichthys,capensis,-17.25,37.75,3103:477:2,0.02
Chelidonichthys,capensis,-17.75,37.25,3103:477:3,0.02
Chelidonichthys,capensis,-17.75,37.75,3103:477:4,0.02
Chelidonichthys,capensis,-18.25,36.75,3103:486:2,0.03
Chelidonichthys,capensis,-18.75,36.25,3103:486:3,0.07
Chelidonichthys,capensis,-18.75,36.75,3103:486:4,0.03
Chelidonichthys,capensis,-18.25,37.25,3103:487:1,0.04
Chelidonichthys,capensis,-18.25,37.75,3103:487:2,0.03
Chelidonichthys,capensis,-18.75,37.25,3103:487:3,0.03
Chelidonichthys,capensis,-19.25,35.25,3103:495:1,0.12
Chelidonichthys,capensis,-19.25,35.75,3103:495:2,0.12
Chelidonichthys,capensis,-19.75,35.25,3103:495:3,0.12
Chelidonichthys,capensis,-19.75,35.75,3103:495:4,0.12
Chelidonichthys,capensis,-19.25,36.25,3103:496:1,0.09
Chelidonichthys,capensis,-19.25,36.75,3103:496:2,0.06
Chelidonichthys,capensis,-19.75,36.25,3103:496:3,0.07
Chelidonichthys,capensis,-19.75,36.75,3103:496:4,0.05
Chelidonichthys,capensis,-19.25,37.25,3103:497:1,0.03
Chelidonichthys,capensis,-17.25,49.25,3104:479:1,0.03
