Mapping parameters for Tylosurus acus rafale (Atlantic agujon needlefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,6,10
Temperature (°C),1,23.05,25.15,27.94,32.14
Salinity (psu),1,26.54,29.54,35.27,39.71
Primary Production,1,626,950,3830,4609
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,11,17,27,83
 

Map data (HSPEC) for predicted occurrences (n = 1041): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Tylosurus,acus rafale,3.75,0.25,1000:130:3,0.18
Tylosurus,acus rafale,3.75,0.75,1000:130:4,0.14
Tylosurus,acus rafale,3.75,1.25,1000:131:3,0.13
Tylosurus,acus rafale,3.75,1.75,1000:131:4,0.13
Tylosurus,acus rafale,3.75,2.25,1000:132:3,0.13
Tylosurus,acus rafale,3.75,2.75,1000:132:4,0.08
Tylosurus,acus rafale,3.25,3.25,1000:133:1,0.09
Tylosurus,acus rafale,3.75,3.25,1000:133:3,0.13
Tylosurus,acus rafale,3.75,3.75,1000:133:4,0.10
Tylosurus,acus rafale,3.25,4.75,1000:134:2,0.11
Tylosurus,acus rafale,3.75,4.25,1000:134:3,0.12
Tylosurus,acus rafale,4.25,2.75,1000:142:2,0.17
Tylosurus,acus rafale,4.75,2.75,1000:142:4,0.15
Tylosurus,acus rafale,4.25,3.25,1000:143:1,0.14
Tylosurus,acus rafale,4.25,3.75,1000:143:2,0.06
Tylosurus,acus rafale,4.75,3.25,1000:143:3,0.19
Tylosurus,acus rafale,4.25,4.25,1000:144:1,0.13
Tylosurus,acus rafale,1.75,6.75,1000:216:4,0.02
Tylosurus,acus rafale,2.75,6.25,1000:226:3,0.06
Tylosurus,acus rafale,5.25,2.75,1000:352:2,0.18
Tylosurus,acus rafale,-1.25,2.25,3000:112:1,0.03
Tylosurus,acus rafale,-1.25,2.75,3000:112:2,0.09
Tylosurus,acus rafale,-1.25,3.25,3000:113:1,0.04
Tylosurus,acus rafale,-1.75,3.75,3000:113:4,0.17
Tylosurus,acus rafale,-1.75,4.25,3000:114:3,0.15
Tylosurus,acus rafale,-1.75,4.75,3000:114:4,0.15
Tylosurus,acus rafale,-2.75,0.75,3000:120:4,0.14
Tylosurus,acus rafale,-4.75,0.25,3000:140:3,0.14
Tylosurus,acus rafale,-4.75,0.75,3000:140:4,0.18
Tylosurus,acus rafale,-0.75,6.75,3000:206:4,0.07
Tylosurus,acus rafale,-1.75,5.25,3000:215:3,0.10
Tylosurus,acus rafale,-1.25,6.25,3000:216:1,0.19
Tylosurus,acus rafale,-1.25,6.75,3000:216:2,0.19
Tylosurus,acus rafale,-1.75,6.25,3000:216:3,0.16
Tylosurus,acus rafale,-2.25,6.25,3000:226:1,0.19
Tylosurus,acus rafale,-5.25,0.75,3000:350:2,0.11
Tylosurus,acus rafale,-5.75,0.25,3000:350:3,0.17
Tylosurus,acus rafale,-5.75,0.75,3000:350:4,0.16
Tylosurus,acus rafale,-5.25,1.25,3000:351:1,0.15
Tylosurus,acus rafale,-5.75,1.25,3000:351:3,0.16
Tylosurus,acus rafale,-7.75,2.25,3000:372:3,0.15
Tylosurus,acus rafale,-7.25,3.25,3000:373:1,0.11
Tylosurus,acus rafale,-7.75,3.25,3000:373:3,0.02
Tylosurus,acus rafale,-7.75,3.75,3000:373:4,0.07
Tylosurus,acus rafale,-7.75,4.25,3000:374:3,0.08
Tylosurus,acus rafale,-7.75,4.75,3000:374:4,0.10
Tylosurus,acus rafale,-8.25,2.25,3000:382:1,0.04
Tylosurus,acus rafale,-8.25,2.75,3000:382:2,0.12
Tylosurus,acus rafale,-8.25,3.25,3000:383:1,0.14
Tylosurus,acus rafale,-8.25,3.75,3000:383:2,0.13
Tylosurus,acus rafale,-8.75,3.75,3000:383:4,0.02
Tylosurus,acus rafale,-8.25,4.75,3000:384:2,0.02
Tylosurus,acus rafale,-8.75,4.75,3000:384:4,0.04
Tylosurus,acus rafale,-7.75,5.25,3000:475:3,0.11
Tylosurus,acus rafale,-7.75,5.75,3000:475:4,0.10
Tylosurus,acus rafale,-8.25,5.25,3000:485:1,0.13
Tylosurus,acus rafale,-8.25,5.75,3000:485:2,0.06
Tylosurus,acus rafale,-8.25,6.25,3000:486:1,0.17
Tylosurus,acus rafale,-8.25,6.75,3000:486:2,0.17
Tylosurus,acus rafale,-8.25,7.25,3000:487:1,0.16
Tylosurus,acus rafale,-8.75,7.75,3000:487:4,0.10
Tylosurus,acus rafale,-9.75,8.25,3000:498:3,0.05
Tylosurus,acus rafale,-9.75,8.75,3000:498:4,0.13
Tylosurus,acus rafale,-10.25,8.75,3100:208:2,0.15
Tylosurus,acus rafale,-10.75,8.75,3100:208:4,0.13
Tylosurus,acus rafale,-11.25,8.75,3100:218:2,0.04
Tylosurus,acus rafale,-11.75,8.75,3100:218:4,0.05
Tylosurus,acus rafale,-11.25,9.25,3100:219:1,0.16
Tylosurus,acus rafale,-11.75,9.25,3100:219:3,0.14
Tylosurus,acus rafale,-12.25,8.75,3100:228:2,0.01
Tylosurus,acus rafale,-12.75,8.75,3100:228:4,0.01
Tylosurus,acus rafale,-12.25,9.25,3100:229:1,0.12
Tylosurus,acus rafale,-12.25,9.75,3100:229:2,0.16
Tylosurus,acus rafale,-12.75,9.25,3100:229:3,0.13
Tylosurus,acus rafale,-13.25,10.25,3101:130:1,0.06
Tylosurus,acus rafale,-13.25,10.75,3101:130:2,0.06
Tylosurus,acus rafale,-13.75,10.25,3101:130:3,0.06
Tylosurus,acus rafale,-13.75,10.75,3101:130:4,0.06
Tylosurus,acus rafale,-14.25,12.25,3101:142:1,0.12
Tylosurus,acus rafale,-14.75,12.25,3101:142:3,0.12
Tylosurus,acus rafale,-31.25,29.75,3302:219:2,0.01
Tylosurus,acus rafale,-31.75,29.25,3302:219:3,0.01
Tylosurus,acus rafale,-31.75,29.75,3302:219:4,0.01
Tylosurus,acus rafale,-3.25,-0.25,5000:130:1,0.11
Tylosurus,acus rafale,-3.75,-0.75,5000:130:4,0.02
Tylosurus,acus rafale,-4.25,-0.25,5000:140:1,0.14
Tylosurus,acus rafale,-4.25,-0.75,5000:140:2,0.05
Tylosurus,acus rafale,-4.75,-0.25,5000:140:3,0.08
Tylosurus,acus rafale,-4.75,-0.75,5000:140:4,0.11
Tylosurus,acus rafale,-4.75,-1.25,5000:141:3,0.02
Tylosurus,acus rafale,-5.25,-0.25,5000:350:1,0.07
Tylosurus,acus rafale,-5.25,-0.75,5000:350:2,0.02
Tylosurus,acus rafale,-5.75,-0.75,5000:350:4,0.05
Tylosurus,acus rafale,-6.25,-0.75,5000:360:2,0.04
Tylosurus,acus rafale,-6.75,-0.25,5000:360:3,0.19
Tylosurus,acus rafale,-7.25,-0.25,5000:370:1,0.04
Tylosurus,acus rafale,3.25,-0.75,7000:130:2,0.15
Tylosurus,acus rafale,3.25,-2.25,7000:132:1,0.17
Tylosurus,acus rafale,3.25,-2.75,7000:132:2,0.11
