Mapping parameters for Umbrina canosai (Argentine croaker)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-31,-42,-62,-49

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,10,100,200
Temperature (°C),1,11.68,16.12,20.49,23.23
Salinity (psu),1,13.52,23.66,35.63,39.6
Primary Production (mgC·m-3·day-1) ,1,9.1,15.99,41.11,56.17
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,164.56,206.82,270.55,329.51
Distance to Land (km),0,0,12,193,427
 

Map data (HSPEC) for predicted occurrences (n = 146): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Umbrina,canosai,-31.25,-49.75,5304:219:2,0.11
Umbrina,canosai,-33.25,-50.25,5305:130:1,0.09
Umbrina,canosai,-37.75,-54.75,5305:374:4,0.16
Umbrina,canosai,-35.75,-56.75,5305:456:4,0.14
Umbrina,canosai,-38.25,-55.25,5305:485:1,0.10
Umbrina,canosai,-38.75,-55.25,5305:485:3,0.02
Umbrina,canosai,-38.75,-55.75,5305:485:4,0.05
Umbrina,canosai,-38.75,-56.25,5305:486:3,0.19
Umbrina,canosai,-38.75,-59.25,5305:489:3,0.06
Umbrina,canosai,-38.75,-59.75,5305:489:4,0.18
Umbrina,canosai,-39.25,-56.25,5305:496:1,0.06
Umbrina,canosai,-39.75,-56.75,5305:496:4,0.05
Umbrina,canosai,-39.75,-57.25,5305:497:3,0.12
Umbrina,canosai,-39.75,-59.75,5305:499:4,0.10
Umbrina,canosai,-38.75,-61.25,5306:381:3,0.19
Umbrina,canosai,-38.75,-61.75,5306:381:4,0.12
Umbrina,canosai,-40.25,-57.75,5405:207:2,0.02
Umbrina,canosai,-40.25,-58.25,5405:208:1,0.04
Umbrina,canosai,-40.25,-58.75,5405:208:2,0.13
Umbrina,canosai,-40.75,-58.75,5405:208:4,0.05
Umbrina,canosai,-40.75,-59.25,5405:209:3,0.18
Umbrina,canosai,-41.25,-58.75,5405:218:2,0.03
Umbrina,canosai,-41.25,-59.25,5405:219:1,0.10
Umbrina,canosai,-41.75,-59.25,5405:219:3,0.05
Umbrina,canosai,-41.75,-59.75,5405:219:4,0.16
Umbrina,canosai,-41.25,-60.25,5406:110:1,0.01
Umbrina,canosai,-31.25,-51.25,5305:111:1,0.36
Umbrina,canosai,-33.75,-50.75,5305:130:4,0.30
Umbrina,canosai,-34.75,-51.75,5305:141:4,0.34
Umbrina,canosai,-35.25,-56.25,5305:456:1,0.38
Umbrina,canosai,-36.25,-56.75,5305:466:2,0.26
Umbrina,canosai,-36.25,-57.25,5305:467:1,0.37
Umbrina,canosai,-37.75,-55.25,5305:475:3,0.37
Umbrina,canosai,-38.25,-55.75,5305:485:2,0.28
Umbrina,canosai,-38.75,-58.75,5305:488:4,0.25
Umbrina,canosai,-39.25,-56.75,5305:496:2,0.20
Umbrina,canosai,-39.25,-57.25,5305:497:1,0.39
Umbrina,canosai,-39.75,-57.75,5305:497:4,0.21
Umbrina,canosai,-39.75,-58.25,5305:498:3,0.32
Umbrina,canosai,-39.25,-59.25,5305:499:1,0.20
Umbrina,canosai,-38.75,-60.25,5306:380:3,0.21
Umbrina,canosai,-38.75,-60.75,5306:380:4,0.20
Umbrina,canosai,-40.25,-59.25,5405:209:1,0.39
Umbrina,canosai,-40.75,-59.75,5405:209:4,0.39
Umbrina,canosai,-41.25,-59.75,5405:219:2,0.28
Umbrina,canosai,-31.25,-51.75,5305:111:2,0.43
Umbrina,canosai,-32.75,-50.25,5305:120:3,0.54
Umbrina,canosai,-36.75,-54.75,5305:364:4,0.51
Umbrina,canosai,-37.25,-54.25,5305:374:1,0.46
Umbrina,canosai,-37.25,-54.75,5305:374:2,0.57
Umbrina,canosai,-37.25,-55.25,5305:475:1,0.48
Umbrina,canosai,-37.75,-55.75,5305:475:4,0.46
Umbrina,canosai,-38.25,-56.25,5305:486:1,0.48
Umbrina,canosai,-38.75,-56.75,5305:486:4,0.46
Umbrina,canosai,-38.75,-57.25,5305:487:3,0.58
Umbrina,canosai,-38.75,-58.25,5305:488:3,0.48
Umbrina,canosai,-39.25,-57.75,5305:497:2,0.47
Umbrina,canosai,-39.25,-58.25,5305:498:1,0.56
Umbrina,canosai,-39.75,-58.75,5305:498:4,0.43
Umbrina,canosai,-39.75,-59.25,5305:499:3,0.56
Umbrina,canosai,-40.25,-59.75,5405:209:2,0.47
Umbrina,canosai,-31.25,-50.75,5305:110:2,0.74
Umbrina,canosai,-31.75,-51.25,5305:111:3,0.79
Umbrina,canosai,-32.25,-50.25,5305:120:1,0.74
