Mapping parameters for Upeneus vittatus (Yellowstriped goatfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  47 |  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,32,-33,28,-137

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,15,52,100
Temperature (°C),1,22.16,24.94,29.04,33.24
Salinity (psu),1,23.5,32.26,35.54,38.65
Primary Production (mgC·m-3·day-1) ,1,0.22,1.22,23.15,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,15.07,100.5,210.07,275.67
Distance to Land (km),0,1,10,131,324
 

Map data (HSPEC) for predicted occurrences (n = 5313): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Upeneus,vittatus,23.25,-163.25,7216:133:1,0.17
Upeneus,vittatus,21.75,-160.75,7216:110:4,0.15
Upeneus,vittatus,-22.75,-176.25,5217:226:3,0.05
Upeneus,vittatus,-22.75,-175.75,5217:225:4,0.18
Upeneus,vittatus,-21.25,-159.75,5215:219:2,0.03
Upeneus,vittatus,-20.25,-157.25,5215:207:1,0.05
Upeneus,vittatus,-22.25,-151.25,5215:121:1,0.04
Upeneus,vittatus,-21.75,-154.75,5215:114:4,0.01
Upeneus,vittatus,-21.75,-140.75,5214:110:4,0.06
Upeneus,vittatus,-20.25,-143.75,5214:103:2,0.19
Upeneus,vittatus,-22.25,-138.75,5213:228:2,0.05
Upeneus,vittatus,-21.75,-138.75,5213:218:4,0.05
Upeneus,vittatus,-20.75,-139.25,5213:209:3,0.05
Upeneus,vittatus,-20.75,-138.75,5213:208:4,0.05
Upeneus,vittatus,-20.75,-138.25,5213:208:3,0.03
Upeneus,vittatus,-17.75,-174.25,5117:374:3,0.14
Upeneus,vittatus,-14.25,-170.25,5117:140:1,0.10
Upeneus,vittatus,-19.25,-169.75,5116:499:2,0.09
Upeneus,vittatus,-18.75,-169.75,5116:489:4,0.07
Upeneus,vittatus,-18.25,-163.25,5116:383:1,0.01
Upeneus,vittatus,-17.75,-163.25,5116:373:3,0.01
Upeneus,vittatus,-14.75,-169.75,5116:249:4,0.09
Upeneus,vittatus,-14.25,-169.75,5116:249:2,0.12
Upeneus,vittatus,-14.25,-169.25,5116:249:1,0.08
Upeneus,vittatus,-14.75,-168.25,5116:248:3,0.05
Upeneus,vittatus,-19.75,-158.25,5115:498:3,0.06
Upeneus,vittatus,-19.25,-158.75,5115:498:2,0.02
Upeneus,vittatus,-19.75,-157.75,5115:497:4,0.06
Upeneus,vittatus,-18.75,-159.75,5115:489:4,0.05
Upeneus,vittatus,-16.75,-154.75,5115:364:4,0.14
Upeneus,vittatus,-16.25,-154.75,5115:364:2,0.16
Upeneus,vittatus,-16.75,-153.75,5115:363:4,0.17
Upeneus,vittatus,-15.75,-154.25,5115:354:3,0.19
Upeneus,vittatus,-19.75,-140.25,5114:390:3,0.09
Upeneus,vittatus,-19.25,-140.75,5114:390:2,0.19
Upeneus,vittatus,-14.75,-147.25,5114:247:3,0.04
Upeneus,vittatus,-19.25,-139.25,5113:499:1,0.05
Upeneus,vittatus,-19.25,-138.75,5113:498:2,0.03
Upeneus,vittatus,-18.25,-137.25,5113:487:1,0.08
