Mapping parameters for Uranoscopus polli (Whitespotted stargazer)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 34 |  47,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,20,50,200
Temperature (°C),1,20.43,24.9,27.92,32.12
Salinity (psu),1,29.54,31.11,35.36,36.4
Primary Production,1,20,848,2330,3830
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,11,148,331
 

Map data (HSPEC) for predicted occurrences (n = 308): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Uranoscopus,polli,1.75,9.25,1000:219:3,0.07
Uranoscopus,polli,-15.75,11.75,3101:351:4,0.09
Uranoscopus,polli,-33.75,24.75,3302:134:4,0.09
Uranoscopus,polli,-34.25,24.25,3302:144:1,0.12
Uranoscopus,polli,-34.25,24.75,3302:144:2,0.12
Uranoscopus,polli,-34.75,24.25,3302:144:3,0.07
Uranoscopus,polli,-34.75,24.75,3302:144:4,0.11
Uranoscopus,polli,-34.75,25.25,3302:245:3,0.09
Uranoscopus,polli,-34.25,26.75,3302:246:2,0.16
Uranoscopus,polli,-7.75,-14.25,5001:374:3,0.14
Uranoscopus,polli,15.75,-17.25,7101:457:3,0.15
Uranoscopus,polli,16.25,-16.75,7101:466:2,0.13
Uranoscopus,polli,16.75,-16.25,7101:466:3,0.05
Uranoscopus,polli,16.75,-16.75,7101:466:4,0.03
Uranoscopus,polli,17.25,-16.75,7101:476:2,0.10
