Mapping parameters for Urophycis earllii (Carolina hake)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 31,
Bounding Box (NSWE): ,38,26,-82,-73

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,8,41,81
Temperature (°C),1,20.87,21.4,24.84,26.99
Salinity (psu),1,34.62,35.45,36.45,36.95
Primary Production (mgC·m-3·day-1) ,1,1.25,8.56,19.28,25.44
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,169.53,206.71,223.79,226.14
Distance to Land (km),0,6,11,120,193
 

Map data (HSPEC) for predicted occurrences (n = 75): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Urophycis,earllii,26.75,-77.25,7207:467:3,0.05
Urophycis,earllii,26.75,-77.75,7207:467:4,0.07
Urophycis,earllii,26.75,-78.25,7207:468:3,0.05
Urophycis,earllii,26.75,-78.75,7207:468:4,0.03
Urophycis,earllii,27.25,-77.75,7207:477:2,0.03
Urophycis,earllii,27.25,-78.25,7207:478:1,0.09
Urophycis,earllii,27.25,-78.75,7207:478:2,0.07
Urophycis,earllii,26.25,-80.25,7208:360:1,0.03
Urophycis,earllii,26.75,-80.25,7208:360:3,0.08
Urophycis,earllii,26.25,-81.75,7208:361:2,0.06
Urophycis,earllii,26.75,-81.75,7208:361:4,0.02
Urophycis,earllii,27.75,-80.75,7208:370:4,0.18
Urophycis,earllii,30.75,-79.75,7307:209:4,0.10
Urophycis,earllii,32.75,-80.25,7308:120:3,0.05
Urophycis,earllii,27.25,-80.25,7208:370:1,0.21
Urophycis,earllii,31.75,-79.25,7307:219:3,0.29
Urophycis,earllii,33.25,-76.75,7307:236:2,0.21
Urophycis,earllii,28.75,-80.25,7208:380:3,0.59
Urophycis,earllii,29.25,-80.25,7208:390:1,0.48
Urophycis,earllii,29.75,-80.25,7208:390:3,0.41
Urophycis,earllii,31.25,-79.75,7307:219:2,0.41
Urophycis,earllii,34.25,-75.75,7307:245:2,0.59
Urophycis,earllii,30.25,-80.25,7308:100:1,0.46
Urophycis,earllii,27.75,-80.25,7208:370:3,0.63
Urophycis,earllii,28.25,-80.25,7208:380:1,0.64
Urophycis,earllii,32.25,-78.75,7307:228:2,0.68
Urophycis,earllii,33.75,-76.25,7307:236:3,0.64
Urophycis,earllii,30.75,-80.25,7308:100:3,0.73
Urophycis,earllii,31.75,-80.75,7308:110:4,0.78
Urophycis,earllii,31.25,-81.25,7308:111:1,0.79
Urophycis,earllii,32.25,-80.75,7308:120:2,0.61
Urophycis,earllii,28.25,-80.75,7208:380:2,0.93
Urophycis,earllii,28.75,-80.75,7208:380:4,1.00
Urophycis,earllii,29.25,-80.75,7208:390:2,1.00
Urophycis,earllii,29.75,-80.75,7208:390:4,1.00
Urophycis,earllii,29.25,-81.25,7208:391:1,1.00
Urophycis,earllii,29.75,-81.25,7208:391:3,1.00
Urophycis,earllii,31.75,-79.75,7307:219:4,1.00
Urophycis,earllii,32.75,-78.25,7307:228:3,1.00
Urophycis,earllii,32.75,-78.75,7307:228:4,1.00
Urophycis,earllii,32.25,-79.25,7307:229:1,1.00
Urophycis,earllii,32.25,-79.75,7307:229:2,1.00
Urophycis,earllii,32.75,-79.25,7307:229:3,1.00
Urophycis,earllii,32.75,-79.75,7307:229:4,1.00
Urophycis,earllii,33.75,-76.75,7307:236:4,0.99
Urophycis,earllii,33.25,-77.25,7307:237:1,0.91
Urophycis,earllii,33.25,-77.75,7307:237:2,1.00
Urophycis,earllii,33.75,-77.25,7307:237:3,1.00
Urophycis,earllii,33.75,-77.75,7307:237:4,1.00
Urophycis,earllii,33.25,-78.25,7307:238:1,1.00
Urophycis,earllii,33.25,-78.75,7307:238:2,1.00
Urophycis,earllii,33.75,-78.25,7307:238:3,1.00
Urophycis,earllii,33.75,-78.75,7307:238:4,1.00
Urophycis,earllii,33.25,-79.25,7307:239:1,1.00
Urophycis,earllii,34.75,-75.25,7307:245:3,0.84
Urophycis,earllii,34.75,-75.75,7307:245:4,1.00
Urophycis,earllii,34.25,-76.25,7307:246:1,1.00
Urophycis,earllii,34.25,-76.75,7307:246:2,1.00
Urophycis,earllii,34.75,-76.25,7307:246:3,1.00
Urophycis,earllii,34.75,-76.75,7307:246:4,1.00
Urophycis,earllii,34.25,-77.25,7307:247:1,1.00
Urophycis,earllii,34.25,-77.75,7307:247:2,0.80
Urophycis,earllii,35.25,-74.75,7307:354:2,1.00
Urophycis,earllii,35.75,-74.75,7307:354:4,1.00
Urophycis,earllii,35.25,-75.25,7307:455:1,1.00
Urophycis,earllii,35.25,-75.75,7307:455:2,1.00
Urophycis,earllii,35.25,-76.25,7307:456:1,0.87
Urophycis,earllii,30.25,-80.75,7308:100:2,1.00
Urophycis,earllii,30.75,-80.75,7308:100:4,1.00
Urophycis,earllii,30.25,-81.25,7308:101:1,1.00
Urophycis,earllii,30.75,-81.25,7308:101:3,1.00
Urophycis,earllii,31.25,-80.25,7308:110:1,1.00
Urophycis,earllii,31.25,-80.75,7308:110:2,1.00
Urophycis,earllii,31.75,-80.25,7308:110:3,1.00
Urophycis,earllii,32.25,-80.25,7308:120:1,1.00


Occurrence cells used for creating environmental envelope (n = 21)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Urophycis,earllii,29.25,-79.75,7207:499:2,638,26.9933452606201,7.6040358543396,36.053394317627,35.3455123901367,5.22000016644597,0,169.527893066406,132
Urophycis,earllii,29.25,-80.75,7208:390:2,17,24.4598178863525,24.6653156280518,36.2400360107422,36.1438941955566,12.4159995466471,0,212.57878112793,22
Urophycis,earllii,29.75,-81.25,7208:391:3,7,23.5431251525879,24.100513458252,36.1788864135742,35.8196105957031,15.5079998075962,0,214.152267456055,11
Urophycis,earllii,30.25,-81.25,7308:101:1,12,23.2313785552979,23.6530704498291,36.1408462524414,36.0933609008789,19.2779991775751,0,216.508697509766,18
Urophycis,earllii,30.75,-81.25,7308:101:3,16,22.5931034088135,23.5109004974365,36.0259323120117,35.6885604858398,17.1819999814034,0,216.099670410156,21
Urophycis,earllii,31.25,-80.75,7308:110:2,20,22.9134101867676,23.2686996459961,36.1307411193848,36.0693664550781,9.87299997359514,0,217.027404785156,71
Urophycis,earllii,31.75,-80.25,7308:110:3,27,23.3317775726318,23.4869403839111,36.146842956543,36.1753807067871,8.56100022792816,0,216.244873046875,86
