Mapping parameters for Zanclorhynchus spinifer (Antarctic horsefish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 58 |  81,
Bounding Box (NSWE): ,-45,-55,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,131,437,1000
Temperature (°C),1,-1,2.12,5.75,7.98
Salinity (psu),1,33.22,33.72,33.89,34.39
Primary Production (mgC·m-3·day-1) ,1,0.61,2.28,5.98,13.84
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,142.95,208.23,328.15,338.04
Distance to Land (km),0,11,16,251,2283
 

Map data (HSPEC) for predicted occurrences (n = 310): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Zanclorhynchus,spinifer,-46.25,33.75,3403:363:2,0.07
Zanclorhynchus,spinifer,-46.75,33.75,3403:363:4,0.12
Zanclorhynchus,spinifer,-46.25,34.25,3403:364:1,0.07
Zanclorhynchus,spinifer,-46.75,34.25,3403:364:3,0.15
Zanclorhynchus,spinifer,-47.25,33.75,3403:373:2,0.13
Zanclorhynchus,spinifer,-45.25,35.25,3403:455:1,0.06
Zanclorhynchus,spinifer,-45.25,35.75,3403:455:2,0.08
Zanclorhynchus,spinifer,-46.75,38.75,3403:468:4,0.15
Zanclorhynchus,spinifer,-45.75,41.75,3404:351:4,0.13
Zanclorhynchus,spinifer,-45.25,42.25,3404:352:1,0.10
Zanclorhynchus,spinifer,-46.25,43.25,3404:363:1,0.01
Zanclorhynchus,spinifer,-46.75,69.75,3406:469:4,0.08
Zanclorhynchus,spinifer,-49.75,177.75,3417:497:4,0.01
Zanclorhynchus,spinifer,-49.75,178.25,3417:498:3,0.01
Zanclorhynchus,spinifer,-49.75,178.75,3417:498:4,0.04
Zanclorhynchus,spinifer,-49.75,179.25,3417:499:3,0.03
Zanclorhynchus,spinifer,-50.25,63.75,3506:103:2,0.08
Zanclorhynchus,spinifer,-51.25,69.75,3506:219:2,0.18
Zanclorhynchus,spinifer,-52.75,78.75,3507:228:4,0.18
Zanclorhynchus,spinifer,-53.25,75.75,3507:235:2,0.19
Zanclorhynchus,spinifer,-53.25,76.75,3507:236:2,0.10
Zanclorhynchus,spinifer,-53.25,77.25,3507:237:1,0.14
Zanclorhynchus,spinifer,-52.75,159.75,3515:229:4,0.04
Zanclorhynchus,spinifer,-52.25,160.25,3516:120:1,0.02
Zanclorhynchus,spinifer,-52.25,160.75,3516:120:2,0.03
Zanclorhynchus,spinifer,-52.75,160.25,3516:120:3,0.07
Zanclorhynchus,spinifer,-52.75,160.75,3516:120:4,0.05
Zanclorhynchus,spinifer,-54.75,167.75,3516:247:4,0.01
Zanclorhynchus,spinifer,-51.75,174.25,3517:114:3,0.01
Zanclorhynchus,spinifer,-51.75,174.75,3517:114:4,0.01
Zanclorhynchus,spinifer,-52.75,171.75,3517:121:4,0.01
Zanclorhynchus,spinifer,-52.75,172.25,3517:122:3,0.01
Zanclorhynchus,spinifer,-52.75,172.75,3517:122:4,0.01
Zanclorhynchus,spinifer,-52.25,173.75,3517:123:2,0.01
Zanclorhynchus,spinifer,-52.75,173.25,3517:123:3,0.01
Zanclorhynchus,spinifer,-52.75,173.75,3517:123:4,0.02
Zanclorhynchus,spinifer,-53.25,170.75,3517:130:2,0.01
Zanclorhynchus,spinifer,-53.75,170.75,3517:130:4,0.01
Zanclorhynchus,spinifer,-53.25,171.25,3517:131:1,0.01
Zanclorhynchus,spinifer,-53.25,171.75,3517:131:2,0.01
Zanclorhynchus,spinifer,-53.75,171.25,3517:131:3,0.01
Zanclorhynchus,spinifer,-53.75,171.75,3517:131:4,0.02
Zanclorhynchus,spinifer,-53.25,172.25,3517:132:1,0.01
Zanclorhynchus,spinifer,-53.25,172.75,3517:132:2,0.02
Zanclorhynchus,spinifer,-53.75,172.25,3517:132:3,0.03
Zanclorhynchus,spinifer,-53.75,172.75,3517:132:4,0.05
Zanclorhynchus,spinifer,-53.25,173.25,3517:133:1,0.03
Zanclorhynchus,spinifer,-53.25,173.75,3517:133:2,0.04
Zanclorhynchus,spinifer,-53.75,173.25,3517:133:3,0.01
Zanclorhynchus,spinifer,-54.75,-126.25,5512:246:3,0.08
Zanclorhynchus,spinifer,-54.75,-129.25,5512:249:3,0.10
Zanclorhynchus,spinifer,-53.25,-140.75,5514:130:2,0.16
Zanclorhynchus,spinifer,-45.75,35.25,3403:455:3,0.22
Zanclorhynchus,spinifer,-46.25,39.25,3403:469:1,0.26
Zanclorhynchus,spinifer,-45.25,41.75,3404:351:2,0.24
Zanclorhynchus,spinifer,-46.75,66.25,3406:466:3,0.36
Zanclorhynchus,spinifer,-46.25,68.25,3406:468:1,0.37
Zanclorhynchus,spinifer,-48.25,65.75,3406:485:2,0.37
Zanclorhynchus,spinifer,-48.75,65.75,3406:485:4,0.28
Zanclorhynchus,spinifer,-48.75,66.25,3406:486:3,0.30
Zanclorhynchus,spinifer,-46.75,71.75,3407:361:4,0.21
Zanclorhynchus,spinifer,-48.75,72.25,3407:382:3,0.25
Zanclorhynchus,spinifer,-50.25,75.75,3507:205:2,0.31
Zanclorhynchus,spinifer,-52.75,77.25,3507:227:3,0.38
Zanclorhynchus,spinifer,-53.25,75.25,3507:235:1,0.30
Zanclorhynchus,spinifer,-53.25,77.75,3507:237:2,0.29
Zanclorhynchus,spinifer,-53.25,79.75,3507:239:2,0.26
Zanclorhynchus,spinifer,-54.75,-129.75,5512:249:4,0.23
Zanclorhynchus,spinifer,-46.25,35.25,3403:465:1,0.40
Zanclorhynchus,spinifer,-46.25,37.25,3403:467:1,0.51
Zanclorhynchus,spinifer,-46.25,38.75,3403:468:2,0.53
Zanclorhynchus,spinifer,-45.75,42.25,3404:352:3,0.58
Zanclorhynchus,spinifer,-46.75,49.25,3404:469:3,0.47
Zanclorhynchus,spinifer,-45.25,50.75,3405:350:2,0.45
Zanclorhynchus,spinifer,-46.25,66.75,3406:466:2,0.44
Zanclorhynchus,spinifer,-48.75,69.75,3406:489:4,0.42
Zanclorhynchus,spinifer,-49.75,66.25,3406:496:3,0.52
Zanclorhynchus,spinifer,-47.75,72.75,3407:372:4,0.41
Zanclorhynchus,spinifer,-48.75,70.25,3407:380:3,0.52
Zanclorhynchus,spinifer,-48.25,72.25,3407:382:1,0.40
Zanclorhynchus,spinifer,-48.25,72.75,3407:382:2,0.42
Zanclorhynchus,spinifer,-49.25,70.25,3407:390:1,0.42
Zanclorhynchus,spinifer,-49.75,74.75,3407:394:4,0.46
Zanclorhynchus,spinifer,-53.25,74.75,3507:134:2,0.52
Zanclorhynchus,spinifer,-50.25,75.25,3507:205:1,0.41
Zanclorhynchus,spinifer,-52.75,76.25,3507:226:3,0.43
Zanclorhynchus,spinifer,-52.25,78.25,3507:228:1,0.54
Zanclorhynchus,spinifer,-52.75,78.25,3507:228:3,0.58
Zanclorhynchus,spinifer,-52.75,79.75,3507:229:4,0.46
Zanclorhynchus,spinifer,-53.75,-139.75,5513:239:4,0.59
Zanclorhynchus,spinifer,-54.25,-139.75,5513:249:2,0.54
Zanclorhynchus,spinifer,-53.75,-140.25,5514:130:3,0.57
Zanclorhynchus,spinifer,-53.75,-140.75,5514:130:4,0.56
Zanclorhynchus,spinifer,-46.25,37.75,3403:467:2,0.62
Zanclorhynchus,spinifer,-46.25,41.75,3404:361:2,0.71
Zanclorhynchus,spinifer,-46.25,42.25,3404:362:1,0.69
Zanclorhynchus,spinifer,-46.25,42.75,3404:362:2,0.68
Zanclorhynchus,spinifer,-46.75,42.75,3404:362:4,0.70
Zanclorhynchus,spinifer,-45.25,49.75,3404:459:2,0.61
Zanclorhynchus,spinifer,-46.25,67.75,3406:467:2,0.76
Zanclorhynchus,spinifer,-47.25,65.75,3406:475:2,0.69
Zanclorhynchus,spinifer,-47.75,65.75,3406:475:4,0.70
Zanclorhynchus,spinifer,-47.25,66.25,3406:476:1,0.71
Zanclorhynchus,spinifer,-48.25,69.75,3406:489:2,0.73
Zanclorhynchus,spinifer,-48.75,69.25,3406:489:3,0.61
Zanclorhynchus,spinifer,-49.25,68.75,3406:498:2,0.67
Zanclorhynchus,spinifer,-46.75,70.75,3407:360:4,0.67
Zanclorhynchus,spinifer,-47.75,73.75,3407:373:4,0.73
Zanclorhynchus,spinifer,-47.75,74.25,3407:374:3,0.75
Zanclorhynchus,spinifer,-48.25,70.25,3407:380:1,0.72
Zanclorhynchus,spinifer,-48.75,71.75,3407:381:4,0.72
Zanclorhynchus,spinifer,-49.25,71.75,3407:391:2,0.76
Zanclorhynchus,spinifer,-49.25,72.25,3407:392:1,0.70
Zanclorhynchus,spinifer,-50.25,71.25,3507:101:1,0.77
Zanclorhynchus,spinifer,-50.25,74.75,3507:104:2,0.64
Zanclorhynchus,spinifer,-51.75,70.25,3507:110:3,0.77
Zanclorhynchus,spinifer,-51.75,72.25,3507:112:3,0.64
Zanclorhynchus,spinifer,-50.75,75.75,3507:205:4,0.77
Zanclorhynchus,spinifer,-52.75,75.75,3507:225:4,0.72
Zanclorhynchus,spinifer,-52.75,76.75,3507:226:4,0.60
Zanclorhynchus,spinifer,-52.25,77.75,3507:227:2,0.63
Zanclorhynchus,spinifer,-52.75,77.75,3507:227:4,0.79
Zanclorhynchus,spinifer,-53.75,158.75,3515:238:4,0.74
Zanclorhynchus,spinifer,-53.75,159.25,3515:239:3,0.75
Zanclorhynchus,spinifer,-46.75,37.75,3403:467:4,1.00
Zanclorhynchus,spinifer,-46.25,38.25,3403:468:1,0.85
Zanclorhynchus,spinifer,-46.75,38.25,3403:468:3,1.00
Zanclorhynchus,spinifer,-46.25,39.75,3403:469:2,0.80
Zanclorhynchus,spinifer,-46.75,39.75,3403:469:4,1.00
Zanclorhynchus,spinifer,-47.25,37.75,3403:477:2,1.00
Zanclorhynchus,spinifer,-48.25,44.25,3404:384:1,1.00
Zanclorhynchus,spinifer,-45.75,49.25,3404:459:3,0.94
Zanclorhynchus,spinifer,-45.75,49.75,3404:459:4,0.94
Zanclorhynchus,spinifer,-46.25,49.25,3404:469:1,1.00
Zanclorhynchus,spinifer,-46.25,49.75,3404:469:2,1.00
Zanclorhynchus,spinifer,-46.75,49.75,3404:469:4,1.00
Zanclorhynchus,spinifer,-45.25,50.25,3405:350:1,0.86
Zanclorhynchus,spinifer,-45.75,50.25,3405:350:3,1.00
Zanclorhynchus,spinifer,-45.75,50.75,3405:350:4,1.00
Zanclorhynchus,spinifer,-45.75,51.25,3405:351:3,1.00
Zanclorhynchus,spinifer,-46.25,50.25,3405:360:1,1.00
Zanclorhynchus,spinifer,-46.25,50.75,3405:360:2,1.00
Zanclorhynchus,spinifer,-46.75,50.25,3405:360:3,1.00
Zanclorhynchus,spinifer,-46.75,50.75,3405:360:4,1.00
Zanclorhynchus,spinifer,-46.25,51.25,3405:361:1,1.00
Zanclorhynchus,spinifer,-46.25,51.75,3405:361:2,1.00
Zanclorhynchus,spinifer,-46.75,51.25,3405:361:3,1.00
Zanclorhynchus,spinifer,-46.75,51.75,3405:361:4,1.00
Zanclorhynchus,spinifer,-46.25,52.25,3405:362:1,1.00
Zanclorhynchus,spinifer,-46.75,52.25,3405:362:3,1.00
Zanclorhynchus,spinifer,-46.75,52.75,3405:362:4,1.00
Zanclorhynchus,spinifer,-49.75,63.75,3406:393:4,0.81
Zanclorhynchus,spinifer,-49.75,64.25,3406:394:3,1.00
Zanclorhynchus,spinifer,-49.75,64.75,3406:394:4,1.00
Zanclorhynchus,spinifer,-46.75,66.75,3406:466:4,0.85
Zanclorhynchus,spinifer,-46.25,67.25,3406:467:1,0.82
Zanclorhynchus,spinifer,-46.75,67.25,3406:467:3,0.84
Zanclorhynchus,spinifer,-46.75,67.75,3406:467:4,0.84
Zanclorhynchus,spinifer,-46.75,68.25,3406:468:3,0.84
Zanclorhynchus,spinifer,-46.75,68.75,3406:468:4,0.84
Zanclorhynchus,spinifer,-46.75,69.25,3406:469:3,0.87
Zanclorhynchus,spinifer,-47.25,66.75,3406:476:2,0.85
Zanclorhynchus,spinifer,-47.75,66.25,3406:476:3,0.90
Zanclorhynchus,spinifer,-47.75,66.75,3406:476:4,0.89
Zanclorhynchus,spinifer,-47.25,67.25,3406:477:1,0.87
Zanclorhynchus,spinifer,-47.25,67.75,3406:477:2,0.88
Zanclorhynchus,spinifer,-47.75,67.25,3406:477:3,0.91
Zanclorhynchus,spinifer,-47.75,67.75,3406:477:4,0.92
Zanclorhynchus,spinifer,-47.25,68.25,3406:478:1,0.89
Zanclorhynchus,spinifer,-47.25,68.75,3406:478:2,0.89
Zanclorhynchus,spinifer,-47.75,68.25,3406:478:3,0.94
Zanclorhynchus,spinifer,-47.75,68.75,3406:478:4,0.96
Zanclorhynchus,spinifer,-47.25,69.25,3406:479:1,0.90
Zanclorhynchus,spinifer,-47.25,69.75,3406:479:2,0.92
Zanclorhynchus,spinifer,-47.75,69.25,3406:479:3,0.95
Zanclorhynchus,spinifer,-47.75,69.75,3406:479:4,0.84
Zanclorhynchus,spinifer,-48.25,66.25,3406:486:1,0.81
Zanclorhynchus,spinifer,-48.25,66.75,3406:486:2,0.94
