J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,111,111,111,,UK,"Along the English East coast, autumn spawner"
,,,111,111,111,111,111,,,,,Finland,Archipelago Sea
,,,111,111,111,111,,,,,,Finland,"Archipelago Sea, 1987-1989"
,,111,111,111,,,,,,,,Denmark,"Area between the islands of Ærø, Tåsinge, Funen and Langeland, spring spawner"
,,,,111,111,,,,,,,Sweden,Asko Archipelago
,,,,,,,,111,,,,Finland,Baltic Sea
,,,,111,111,111,,,,,,Finland,Baltic Sea
,,,,,111,,,,,,,Sweden,"Baltic Sea, 1982"
,,,,,111,111,,,,,,Finland,Bothnian Bay
111,111,111,,,,,,,111,111,111,UK,Celtic Sea
,,,,,,,,111,,,,UK Scotland,"Clyde, 1981"
,,,,,,,,111,,,,UK Scotland,"Clyde, 1981 (spawning ground)"
,,,,,,,,,111,,,UK,"Cork, South Ireland, 1981"
,,,,,,,,111,,,,UK No Ireld,"Donegal Bay, 1982"
,,,,,,,,,,111,111,UK,Dover Straits
,,,,,,,,,111,,,UK,"Dunmore, Celtic Sea, 1981"
,,,,,,,,,,,111,UK,"East Anglia, 1933"
,,,,,,,,111,111,111,,UK Scotland,Eastern Manx
111,,,,,,,,,,111,111,,English Channel
,,,,,,,,,111,,,UK,"Galway, West Ireland, 1981"
,,,,,,,111,111,111,,,Canada,"Georges Bank, 1986-1995"
,,111,111,111,,,,,,,,Germany,"Greifswald lagoon at Rügen, spring spawner"
,,,,111,111,,,,,,,Finland,Gulf of Finland
,,111,111,111,,,,,,,,Poland,Gulf of Gdansk (spring herring)
,,,,,,,,111,111,111,,Poland,Gulf of Gdansk - Autumn spawning stock
,,111,111,111,,,,,,,,Poland,Gulf of Gdansk - Spring spawning stock
,,,,111,111,,,,,,,Poland,Gulf of Riga
,,,,,,,,111,111,111,,Estonia,"Gulf of Riga (autumn spawner), 1956 - 58"
,,111,111,111,,,,,,,,Estonia,"Gulf of Riga (spring spawner), 1957"
,,,,111,111,,,,,,,Estonia,"Gulf of Riga, 1960"
,111,111,111,,,,,,,,,,"Gulf of St. Lawrence, 1970-72"
,,,111,111,,,,,,,,Sweden,Hano Bight
,,,,111,111,111,,,,,,Sweden,"Hållsfjärden, 1978-1982"
,,,,,,,,,111,,,UK,"Kerry, West Ireland, 1981"
,,111,111,111,,,,,,,,Germany,"Kiel fjord, Schleswig-Holstein, spring spawner"
,,111,111,111,,,,,,,,Denmark,"Kolding, Southern Jutland, spring spawner"
,,111,111,,,,,,,,,Norway,Lusterfjord
,,,,,,,,111,,,,UK No Ireld,"Manx, 1978-1981"
,,,,,,,111,,,,,UK Scotland,"Minch, 1981"
,,,,,,,111,,,,,UK Scotland,"Minch, 1981 (spawning ground)"
,,,,,,,,111,111,,,UK No Ireld,"Mourne, 1978-1980"
,,111,111,111,,,,,,,,Russia,Murmansk
,,,,,,,,111,111,111,,USA,New Jersey and Maryland
111,111,111,111,,,,,,,,,Norway,North Sea
,,,,,,,,,,111,111,,North Sea Southern Bight & Eastern English Channel
,,,,111,111,111,,,,,,Finland,northern side of the Archipelago Sea up to the Quark
,,,,,,,111,111,,,,UK Scotland,NW North Sea
,,,,,,111,111,,,,,Iceland,off southern and southwestern Iceland
,,,,,,,,111,111,111,,UK Scotland,"Off the Scottish east coast, autumn spawner"
,,,,,,,,111,111,111,,UK,"Orkney Shetland area, autumn spawner"
,,,,,,,,111,111,111,,UK No Ireld,"Point of Ayre and Maughold Head, North Irish Sea , 1998-2000"
,,,111,111,,,,,,,,UK Scotland,"Rathlin, 1981"
,,,111,111,,,,,,,,UK Scotland,"Rathlin, 1981 (spawning ground)"
,,111,111,111,,,,,,,,Germany,"Schlei fjord, Schleswig-Holstein, spring spawner"
,,,,111,111,111,,,,,,Sweden,"south-western, south-eastern and northeastern part of the Bothnian Sea"
,,111,111,111,,,,,,,,Norway,"Telemark Coast, July 1963- Sept 1964"
,,,,111,,,,,,,,UK,"Thames Estuary, 1982"
,111,111,11,111,111,,,,,,,Poland,Vistula Lagoon
,111,111,111,,,,,,,,,Norway,West coast
111,111,90,100,111,,,,,,111,111,,Western and southwestern Baltic
,,,,,,,111,111,111,,,UK,"Whitby, Dogger, Northeast Bank"
