J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,111,111,,Finland,Finland
,,,,,,,,,,111,,Russia,Lake Beloye
,,,,,,,,111,111,111,,Germany,Lake Breiter Luzin
,,,,,,,,,,111,,Poland,Lake Isag (1982-1983)
,,,,,,,,111,111,111,,Finland,Lake Kuohijärvi
,,,,,,,,,,111,,Russia,Lake Ladoga
,,,,,,,,,,,111,Poland,Lake Lutry (1982-1983)
,,,,,,,,,,,111,Poland,Lake Narie (1982-1983)
,,,,,,,,111,111,111,,Finland,Lake Onkamo
,,,,,,,,,,111,,Finland,Lake Pyhäjarvi
,,,,,,,,,,111,111,Germany,Lake Stechlin
,,,,,,,,111,111,111,,Germany,Lake Stechlin
,,,,,,,,,111,,,Finland,Lake Suvasvesi
,111,111,,,,,,,,,,Finland,"Lakes Änättijärvi, Sokojärvi and Kajoonjärvi in North Karelia"
,,,,,,,,,,111,111,,Northern Europe
,,,,,,,,,,,111,Germany,Northern Germany
,,,,,,,,,111,,,Finland,not specified
,,,,,,,,,111,,,Russia,Onega Lake
,,,,,,,,111,111,111,111,Germany,Schlewsig-Holstein
