J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,,111,,Anadyr River
111,111,111,,,,,,,,,,Canada,Canada
111,111,111,,,,,,,,111,111,,Central Europe
111,111,111,,,,,,,,,111,Russia,Enisey River
111,111,,,,,,,,,,,Russia,Enisey River
111,111,111,,,,,,,,,,Finland,Finland
111,,,,,,,,,,,111,France,France
,111,111,,,,,,,,,,Alaska,Large rivers and lakes (not specified).
111,111,111,111,111,,,,,,111,111,,Not specified
111,111,,,,,,,,,,,Alaska,Not specified
111,111,111,,,,,,,,111,111,China,Not specified
111,111,111,,,,,,,,111,111,Germany,Schleswig-Holstein
