J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,111,,,,,111,Australia,"Albany, Western Australia"
,,111,111,111,,,,,,,,Japan,central Honshu
111,111,111,,,,,,111,111,111,111,Peru,"Ilo, Callao, Chimbote, Paita"
,,111,111,111,111,111,111,111,,,,Australia,northern New South Wales
,111,111,,,,111,111,111,,,,Chile,Off Chile
111,111,111,111,111,111,,,,,,,USA,"Point Conception to San Diego, California"
,,,111,111,111,,,,,,,USA,"San Pedro, California"
111,111,111,111,111,,,,,,,111,Australia,South Australia
111,111,,,,,,,111,111,111,111,,southern Africa
111,111,111,111,111,,,,,,,111,Australia,southern New South Wales
111,111,,,,,,,111,111,111,111,Australia,Victoria
,,111,111,111,111,111,111,111,,,,Australia,Western Australia (south coasts)
