"region","specie","PID","major"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",75,"51"
